species_tax_id,superkingdom,phylum,class,order,family,genus,species,motility,metabolism,cell_shape,substrate,pathways
28232,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,metallireducens,yes,obligate anaerobic,NA,"acetate, butanol, ethanol, propionate, pyruvate, valerate",NA
35554,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,sulfurreducens,yes,obligate anaerobic,NA,acetate,NA
351604,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,uraniireducens,no,obligate anaerobic,NA,"lactate, malate",NA
1861,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,obscurus,NA,obligate aerobic,NA,"galactose, glycerol, mannitol, rhamnose, ribose, sucrose, xylose",NA
300231,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Glaciecola,nitratireducens,no,obligate aerobic,coccus,"arabinose, gluconate, maltose, mannose, N_acetylglucosamine","acid_phosphatase, alkaline_phosphatase, gelatinase, trypsin"
326544,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Paraglaciecola,psychrophila,no,obligate aerobic,NA,"galactose, gluconate, lactose, maltose, pyruvate, sucrose","catalase, alkaline_phosphatase, beta_galactosidase, trypsin, phosphohydrolase, catalase, oxidase"
1416614,Bacteria,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,kilaueensis,yes,NA,NA,NA,NA
33072,Bacteria,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,violaceus,yes,obligate aerobic,coccus,NA,NA
33996,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconacetobacter,diazotrophicus,no,obligate aerobic,NA,"acetate, ethanol, fructose, gluconate, glucose, glycerol, mannitol, sorbitol, sucrose, yeast_extract, 2_aminethanol",catalase
33995,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Komagataeibacter,europaeus,yes,obligate aerobic,NA,"acetate, ethanol, glucose, glutamate, mannitol",catalase
1177712,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Komagataeibacter,medellinensis,yes,NA,NA,"acetate, lactate",NA
442,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconobacter,oxydans,NA,obligate aerobic,NA,"arabinose, arabitol, ethanol, fructose, glucose, glycerol, mannitol, mannose, ribose, sorbitol",catalase
36820,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,aichiensis,yes,obligate aerobic,NA,"ethanol, fructose, glucose, glutamate, mannose, sucrose, trehalose",acid_phosphatase
263909,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,araii,yes,obligate aerobic,NA,"glucose, ribose, sucrose",NA
2054,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,bronchialis,yes,obligate aerobic,NA,"acetate, alanine, butanol, citrate, ethanol, fructose, gluconate, glucosamine, glucose, glycerol, lactate, malate, maltose, mannitol, mannose, myo_inositol, pyruvate, serine, sorbitol, succinate, sucrose, trehalose","catalase, urease, pyrazinamidase"
263908,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,effusa,yes,obligate aerobic,NA,"alanine, aspartate, citrate, N_acetylglucosamine, putrescine, succinate, sucrose",NA
249058,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,otitidis,yes,obligate aerobic,NA,"alanine, arabitol, leucine, N_acetylglucosamine, proline, putrescine, serine, sucrose",NA
84595,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,polyisoprenivorans,yes,obligate aerobic,NA,"adipate, alanine, arabitol, aspartate, citrate, galactose, gluconate, glucosamine, myo_inositol, proline, putrescine, rhamnose, sucrose, Tween_80, 4_hydroxybenzoate","catalase, urease"
